P1,P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4,price
2914.0,0.4938229,0.0027454,0.1544269,0.120678,0.8997941,0.0164722,0.7701994,0.0041973,0.0136411,0.1085126,0.0020986,0.2822665,0.3751169,0.2090909,0.3,15100.0
1515.0,0.4745875,0.0,0.1491749,0.1432161,0.9023102,0.0,0.7614213,0.0,0.0118443,0.0467742,0.0,1.0,0.166129,0.0631579,0.0,31000.0
650.0,0.5030769,0.0015385,0.1246154,0.1021672,0.8815385,0.0,0.7188755,0.0,0.0240964,0.113879,0.0040161,1.0,0.3914591,0.1139241,0.75,14999.0
149.0,0.4966443,0.0,0.1073826,0.0266667,0.9328859,0.0,0.8431373,0.0,0.0392157,0.1355932,0.0,0.9607843,0.3220339,0.15,0.0,37100.0
2664.0,0.4864865,0.0018769,0.1497748,0.1089181,0.841967,0.0247748,0.7099081,0.0081716,0.0561798,0.02002,0.0010215,0.9938713,0.3163163,0.0600601,0.5,59100.0
20390.0,0.4927906,0.0116724,0.0376165,0.0276542,0.9196175,0.0,0.825416,0.0025719,0.0538578,0.045763,0.0111952,0.9544629,0.1564891,0.0966272,0.16,280900.0
1055.0,0.4881517,0.0104265,0.1080569,0.062963,0.9251185,0.0,0.8395722,0.0053476,0.026738,0.3345196,0.0106952,0.9973262,0.0836299,0.1666667,0.4705882,68900.0
700.0,0.4914286,0.0,0.0414286,0.0702247,0.9514286,0.0157143,0.9016393,0.0,0.0218579,0.2179487,0.0,0.9836066,0.7606838,0.3333333,0.3333333,14999.0
130.0,0.4615385,0.2923077,0.1692308,0.2428571,0.9,0.0,0.7346939,0.0,0.0,0.125,0.2653061,1.0,0.2142857,0.1818182,0.0,17800.0
312.0,0.4358974,0.0,0.2179487,0.1704545,0.875,0.0,0.7131148,0.0,0.0327869,0.0827068,0.0,0.9836066,0.1879699,0.1052632,0.5714286,17900.0
6837.0,0.4654088,0.0147726,0.1550388,0.128591,0.810882,0.0428551,0.6792,0.0068,0.0584,0.069248,0.0128,0.9944,0.3790022,0.070122,0.6,110800.0
6416.0,0.4981297,0.0024938,0.0961658,0.0664596,0.8600374,0.0,0.7015581,0.0043947,0.0515382,0.0380477,0.0031962,0.9976029,0.2413528,0.0236337,0.5294118,65900.0
762.0,0.4908136,0.0052493,0.2388451,0.1520619,0.851706,0.0,0.6899696,0.0,0.0243161,0.1364829,0.006079,0.9969605,0.2467192,0.0169492,0.75,16100.0
9611.0,0.4710228,0.0773073,0.1742795,0.1099528,0.8080325,0.0,0.6206019,0.0009259,0.0425926,0.0406396,0.0763889,0.9935185,0.3328892,0.0105525,0.4210526,83700.0
171.0,0.5204678,0.0,0.1578947,0.0853659,0.8654971,0.0,0.6969697,0.0,0.0454545,0.1081081,0.0,0.969697,0.2567568,0.1818182,0.6666667,22200.0
8005.0,0.4884447,0.04797,0.0795753,0.0715507,0.8999375,0.011243,0.7871785,0.0048453,0.0298174,0.09174,0.0450988,0.9068207,0.2545701,0.1821904,0.4482759,51300.0
10066.0,0.4598649,0.30757,0.1228889,0.1096193,0.7190542,0.1564673,0.675787,0.0026478,0.0329509,0.0702954,0.338629,0.9599882,0.2809081,0.097493,0.2916667,22500.0
775.0,0.4722581,0.0,0.1264516,0.0806846,0.8980645,0.0,0.7610922,0.003413,0.0204778,0.0517799,0.0,0.9931741,0.3139159,0.12,0.5,27600.0
2546.0,0.4685782,0.0133543,0.0970149,0.0813008,0.8126473,0.0789474,0.7180043,0.0010846,0.016269,0.0243386,0.0032538,0.9978308,0.1206349,0.0666667,0.0,85800.0
4831.0,0.4498034,0.0066239,0.2179673,0.185854,0.8016974,0.0411923,0.6500754,0.0040221,0.0246355,0.0714286,0.0045249,0.9979889,0.3253968,0.0638607,0.5263158,29200.0
592.0,0.4864865,0.1554054,0.2094595,0.1842105,0.8783784,0.0,0.7276596,0.012766,0.0170213,0.1165414,0.1276596,0.9574468,0.3721805,0.2244898,0.6666667,14999.0
341.0,0.4809384,0.0,0.2521994,0.1751412,0.8357771,0.0,0.6530612,0.0068027,0.0068027,0.1878453,0.0,1.0,0.3370166,0.1034483,0.8888889,14999.0
4078.0,0.497793,0.0117705,0.0769985,0.0776367,0.8447769,0.0706229,0.7822639,0.0028839,0.0259553,0.0747165,0.0021629,0.9870224,0.2975317,0.0664452,0.3333333,39300.0
1547.0,0.4369748,0.2443439,0.2773109,0.2399541,0.7808662,0.0607628,0.6506211,0.0,0.0295031,0.0733813,0.2406832,0.9984472,0.3798561,0.0521739,0.5,18800.0
3352.0,0.4788186,0.0164081,0.1870525,0.1064682,0.8926014,0.0355012,0.8228176,0.0017286,0.0250648,0.0326087,0.0138289,0.9956785,0.0852843,0.1326531,0.5625,131700.0
160728.0,0.4755799,0.1482505,0.1356453,0.1051383,0.727857,0.0746665,0.5946015,0.0032934,0.0878533,0.1181094,0.1302436,0.8813513,0.4398599,0.1072881,0.4297352,87300.0
979.0,0.4719101,0.0010215,0.2819203,0.2030948,0.8161389,0.0306435,0.6546763,0.0023981,0.0095923,0.1437372,0.0,0.9904077,0.238193,0.0705882,1.0,19300.0
493.0,0.5192698,0.0,0.0547667,0.0464135,0.9026369,0.0,0.7454545,0.0,0.0363636,0.2396313,0.0,0.9818182,0.3548387,0.175,0.8823529,39100.0
47025.0,0.4824668,0.0106114,0.1316746,0.1022723,0.8805742,0.0420202,0.8118297,0.0013962,0.03243,0.0336686,0.0066637,0.9765184,0.1611063,0.047812,0.5830116,191200.0
670.0,0.5164179,0.2567164,0.0671642,0.0987654,0.7507463,0.0,0.55,0.0066667,0.0933333,0.2125984,0.28,0.9333333,0.7112861,0.0700389,0.4,65000.0
20586.0,0.4802293,0.0015545,0.1436899,0.1108411,0.8828816,0.0096182,0.7488224,0.0017823,0.0250796,0.0277262,0.0005092,0.9901973,0.2169823,0.0490628,0.0877193,64500.0
4787.0,0.4564445,0.0114895,0.2648841,0.1963874,0.8067683,0.0273658,0.6415279,0.0009794,0.0259549,0.067154,0.010284,0.9980411,0.3188671,0.0676471,0.625,34000.0
1746.0,0.5005727,0.0366552,0.128866,0.0997706,0.9043528,0.0,0.7824675,0.0064935,0.0324675,0.0609756,0.0275974,0.9902597,0.4085366,0.1821862,0.4,23800.0
612.0,0.4754902,0.3415033,0.1454248,0.1464174,0.8169935,0.0,0.6401515,0.0075758,0.0492424,0.0989761,0.3143939,1.0,0.4197952,0.0615385,1.0,24200.0
95.0,0.5263158,0.0,0.2421053,0.0444444,0.9578947,0.0,0.9189189,0.0,0.027027,0.0,0.0,1.0,0.0,0.0,0.0,153100.0
208.0,0.5,0.0,0.2403846,0.1634615,0.8365385,0.0,0.6292135,0.0,0.011236,0.2327586,0.0,1.0,0.2844828,0.0526316,1.0,14999.0
3706.0,0.4827307,0.0053967,0.1640583,0.123109,0.8561792,0.0218564,0.7166428,0.0035868,0.035868,0.0504087,0.0057389,0.9849354,0.2418256,0.1070496,0.4285714,36900.0
8388.0,0.4833095,0.1727468,0.0953743,0.0812183,0.8750596,0.0,0.7278521,0.0050988,0.0509879,0.0266749,0.1714468,0.9824729,0.3325062,0.0466179,0.25,97100.0
3356.0,0.4356377,0.1912992,0.1924911,0.1895459,0.8414779,0.0214541,0.6802721,0.005291,0.0181406,0.0825243,0.1579743,0.9992441,0.3744799,0.1176471,0.2608696,27700.0
2769.0,0.4810401,0.0010834,0.1549296,0.1057759,0.8443481,0.0054171,0.6900638,0.0036463,0.0556062,0.034331,0.0009116,0.9927074,0.3503521,0.0503018,0.3333333,53100.0
250.0,0.508,0.0,0.084,0.0894309,0.904,0.0,0.7640449,0.0,0.0337079,0.127451,0.0,0.9775281,0.3039216,0.2777778,1.0,56900.0
364.0,0.5027473,0.0,0.1291209,0.0773481,0.8543956,0.0,0.6756757,0.0,0.0337838,0.1731844,0.0,0.8851351,0.3575419,0.0652174,1.0,26900.0
835.0,0.4167665,0.0,0.3413174,0.2792608,0.7269461,0.0538922,0.5503876,0.005168,0.0129199,0.1494505,0.0,0.994832,0.3186813,0.0196078,0.4375,14999.0
1045.0,0.4698565,0.0009569,0.2124402,0.2166065,0.7875598,0.0296651,0.6244131,0.0046948,0.0446009,0.0383747,0.0,0.9953052,0.3092551,0.0235294,0.5,63600.0
577.0,0.4419411,0.5961872,0.2062392,0.2142857,0.8353553,0.0,0.6052632,0.004386,0.0087719,0.1586716,0.495614,0.9912281,0.2804428,0.2876712,0.0,16400.0
5151.0,0.4967967,0.1941371,0.1158998,0.099537,0.8870122,0.0097069,0.7521598,0.0043197,0.0269978,0.0974659,0.1906048,0.9589633,0.3825536,0.1369048,0.4545455,33400.0
1394.0,0.4555237,0.0,0.2998565,0.2371542,0.7496413,0.045911,0.5803859,0.011254,0.0241158,0.0866373,0.0,1.0,0.4082232,0.0439024,0.7,16800.0
277.0,0.4584838,0.0,0.1768953,0.1266667,0.898917,0.0,0.7475728,0.0,0.0194175,0.0462963,0.0,1.0,0.1574074,0.0384615,0.0,24000.0
3950.0,0.4513924,0.0005063,0.255443,0.2113521,0.8037975,0.0407595,0.6509492,0.0030618,0.0226577,0.0836139,0.0012247,0.9957134,0.3580247,0.085595,0.5714286,23300.0
1232.0,0.4943182,0.0032468,0.0844156,0.070626,0.9301948,0.0,0.8043478,0.0027174,0.0244565,0.0868486,0.0027174,0.4429348,0.5260546,0.3390805,0.0,22900.0
6801.0,0.4516983,0.181738,0.1655639,0.1453473,0.8367887,0.0270548,0.6832018,0.0026306,0.0259301,0.05066,0.1544532,0.9954904,0.3307171,0.0875706,0.4285714,36300.0
25782.0,0.496548,0.059848,0.0950663,0.0691834,0.8204561,0.0022496,0.6664605,0.0038136,0.0940012,0.0556745,0.0544218,0.9199134,0.2804166,0.1339535,0.2828283,153600.0
36094.0,0.4522358,0.0067601,0.4208456,0.2142026,0.7585194,0.015986,0.5921136,0.0045985,0.0452952,0.1165448,0.0051158,0.9111916,0.5374264,0.084694,0.3397887,71800.0
1811.0,0.5444506,0.0127002,0.0927664,0.0642424,0.9110988,0.006074,0.8181818,0.0020202,0.0464646,0.019802,0.0121212,0.3818182,0.5524752,0.3419689,1.0,47000.0
1606.0,0.4638854,0.0031133,0.2285181,0.1777003,0.7889166,0.0386052,0.6160584,0.0014599,0.020438,0.1636142,0.0014599,0.9605839,0.3772894,0.0758294,0.8571429,24200.0
110.0,0.5454545,0.0,0.2636364,0.14,0.9,0.0,0.7179487,0.0,0.0,0.2352941,0.0,1.0,0.4117647,0.25,0.0,14999.0
117.0,0.5042735,0.0,0.1367521,0.0689655,0.9230769,0.0,0.8181818,0.0,0.0227273,0.1698113,0.0,0.9545455,0.3584906,0.2,0.0,20600.0
520.0,0.4769231,0.0,0.1557692,0.125,0.8865385,0.0,0.729064,0.0049261,0.0197044,0.2591241,0.0,0.9950739,0.4562044,0.15625,0.0,15800.0
6159.0,0.4770255,0.0402663,0.0959571,0.0841354,0.9048547,0.012502,0.7872439,0.0018622,0.0181564,0.1072319,0.0372439,0.9916201,0.3466334,0.1312741,0.4754098,33300.0
238.0,0.5,0.0,0.3529412,0.1932773,0.8361345,0.0,0.6637168,0.0,0.0088496,0.162963,0.0,1.0,0.2518519,0.0714286,0.8181818,14999.0
6430.0,0.4947123,0.0,0.0990669,0.0886427,0.9121306,0.0133748,0.8045816,0.0037401,0.0224404,0.0206044,0.0,0.9850397,0.2284799,0.0840951,0.4166667,52500.0
71.0,0.5211268,0.0,0.0985915,0.0,0.7464789,0.0,0.6060606,0.030303,0.0909091,0.5147059,0.0,1.0,0.5735294,0.0,0.0,79200.0
3286.0,0.5021302,0.0079124,0.0730371,0.054401,0.9056604,0.0024346,0.8374875,0.0089731,0.0707876,0.0098717,0.003988,0.9332004,0.0552813,0.2701149,0.25,207100.0
448.0,0.4598214,0.0,0.2254464,0.161157,0.84375,0.0,0.6666667,0.0,0.020202,0.1121076,0.0,1.0,0.2556054,0.0769231,0.8,17100.0
2130.0,0.486385,0.0,0.1183099,0.0776965,0.929108,0.0,0.8141361,0.0013089,0.0078534,0.0637255,0.0,0.9934555,0.2806373,0.1046512,0.5384615,39400.0
164.0,0.445122,0.0,0.2621951,0.1208791,0.8658537,0.0,0.6865672,0.0,0.0149254,0.3020833,0.0,0.238806,0.5729167,0.1,0.0,14999.0
950.0,0.4463158,0.0,0.1410526,0.1634981,0.8936842,0.0,0.7295082,0.0,0.0027322,0.0962963,0.0,1.0,0.3580247,0.1057692,0.8888889,28800.0
707.0,0.4809052,0.0,0.1301273,0.0980926,0.9052334,0.0,0.7528958,0.0,0.011583,0.1068966,0.0,0.976834,0.2344828,0.1666667,1.0,23500.0
1643.0,0.4528302,0.0353013,0.2166768,0.21802,0.8514912,0.0365186,0.7223114,0.0032103,0.0144462,0.1262272,0.0369181,0.9967897,0.2398317,0.1517241,0.75,23500.0
2426.0,0.4707337,0.0,0.1859027,0.1596573,0.8367683,0.0276175,0.6869835,0.0010331,0.0237603,0.1255646,0.0,0.9628099,0.4137308,0.1282895,0.6923077,14999.0
2001.0,0.4627686,0.025987,0.1504248,0.1469767,0.8690655,0.0,0.6884154,0.0053262,0.0292943,0.1027479,0.0213049,1.0,0.2580645,0.1417004,0.6,17200.0
1701.0,0.4814815,0.4650206,0.1416814,0.1043084,0.8894768,0.0094062,0.7583026,0.0055351,0.0571956,0.076661,0.4132841,0.9797048,0.1499148,0.2881356,1.0,37300.0
1481.0,0.4821067,0.1127616,0.1397704,0.1082138,0.8960162,0.0027009,0.7655955,0.0075614,0.0321361,0.0815972,0.1058601,0.9546314,0.2743056,0.2289157,0.4285714,39700.0
321.0,0.4517134,0.0685358,0.2616822,0.2102273,0.8566978,0.0,0.6805556,0.0,0.0,0.1325301,0.0694444,1.0,0.2409639,0.047619,0.7142857,14999.0
112.0,0.5357143,0.0,0.1607143,0.0384615,0.9375,0.0,0.8292683,0.0,0.0,0.0238095,0.0,1.0,0.2380952,0.0,0.0,14999.0
26144.0,0.4801867,0.0088357,0.1531135,0.1039735,0.8647108,0.0043987,0.7153793,0.0026842,0.0448355,0.0492439,0.0097425,0.9843921,0.2836484,0.0426036,0.6325301,122100.0
3195.0,0.4553991,0.0541471,0.3051643,0.2465517,0.7749609,0.0741784,0.6496409,0.0055866,0.019154,0.1119773,0.0422985,0.9369513,0.3451453,0.1229698,0.6,29800.0
3220.0,0.4965839,0.0068323,0.1093168,0.0851326,0.8664596,0.0468944,0.7660194,0.0019417,0.0291262,0.1211604,0.0058252,0.5893204,0.4343003,0.1792829,0.8235294,22000.0
1021.0,0.4916748,0.0,0.0842311,0.0539499,0.9461312,0.0,0.856305,0.0,0.0175953,0.058011,0.0,0.8651026,0.2348066,0.1363636,0.5,63100.0
659.0,0.4688923,0.07739,0.1578149,0.1371429,0.8831563,0.0,0.7272727,0.0037879,0.0151515,0.1081081,0.0719697,1.0,0.2972973,0.0597015,0.6666667,21300.0
660.0,0.4727273,0.0,0.2136364,0.1724138,0.8454545,0.0,0.6535714,0.0,0.0178571,0.0909091,0.0,1.0,0.2597403,0.0689655,0.75,18800.0
231.0,0.4891775,0.0,0.2121212,0.1271186,0.9004329,0.012987,0.8351648,0.0,0.043956,0.2288136,0.0,0.8241758,0.1694915,0.0833333,0.2,93300.0
1148.0,0.4965157,0.0,0.1263066,0.1141869,0.8963415,0.0,0.7476636,0.0070093,0.0140187,0.0425056,0.0,0.9976636,0.1319911,0.1195652,0.8333333,32900.0
916.0,0.5032751,0.0,0.1943231,0.0879121,0.8919214,0.0,0.7409471,0.0,0.0167131,0.0841837,0.0,0.9972145,0.255102,0.0808081,0.5,19200.0
10923.0,0.4869541,0.0057676,0.0909091,0.0838687,0.9153163,0.0334157,0.8610785,0.0032239,0.0199297,0.0141578,0.0017585,0.9689332,0.1123953,0.0746667,0.2666667,70700.0
3963.0,0.4776684,0.0012617,0.1834469,0.1478261,0.7996467,0.0527378,0.6816406,0.0071615,0.046224,0.1336717,0.0026042,0.9973958,0.3237451,0.043659,0.7307692,35500.0
6869.0,0.6552628,0.1637793,0.0005823,0.0021115,0.6446353,0.3505605,0.9743809,0.0,0.0025619,0.0306291,0.1665243,0.8633646,0.375,0.2549187,0.0,156300.0
21907.0,0.4683435,0.0021454,0.2265029,0.1508543,0.8006573,0.0251061,0.6429871,0.0035305,0.0380871,0.0460298,0.0008559,0.9943297,0.3081241,0.0403641,0.5714286,31800.0
358.0,0.5027933,0.0,0.0530726,0.0449438,0.9692737,0.0,0.8513514,0.0,0.0,0.1777778,0.0,1.0,0.8333333,0.2666667,0.0,14999.0
2896.0,0.4865331,0.0017265,0.3504834,0.1452589,0.8308011,0.0062155,0.6882622,0.003811,0.0411585,0.2566572,0.0022866,0.9931402,0.5201133,0.1055046,0.4571429,41500.0
8395.0,0.4896962,0.0102442,0.1242406,0.06676,0.942704,0.0121501,0.8794788,0.0,0.0141151,0.0174253,0.0083243,0.9942092,0.022404,0.0841121,0.4666667,129200.0
1193.0,0.4358759,0.0,0.3000838,0.2392273,0.7510478,0.0536463,0.5862709,0.0018553,0.0148423,0.1320451,0.0,0.9981447,0.3478261,0.05625,0.5,14999.0
252.0,0.4246032,0.0,0.2222222,0.1655172,0.8730159,0.0,0.7115385,0.0,0.0192308,0.0714286,0.0,1.0,0.1428571,0.0714286,0.6666667,18800.0
2515.0,0.4791252,0.0035785,0.1626243,0.1007634,0.9522863,0.0,0.8638554,0.0,0.0084337,0.0223793,0.0024096,0.986747,0.0270907,0.0454545,0.75,304200.0
2067.0,0.4383164,0.4175133,0.1664248,0.1576227,0.8829221,0.0193517,0.7453333,0.0,0.0133333,0.0853659,0.34,0.9946667,0.295122,0.1105991,0.7777778,29800.0
1233.0,0.4776967,0.0032441,0.1995134,0.1521739,0.8183293,0.0,0.6439114,0.0,0.0442804,0.0996678,0.001845,0.9944649,0.3106312,0.0301205,0.7142857,75300.0
7686.0,0.4773614,0.1571689,0.172001,0.1356734,0.8229248,0.0418944,0.7011494,0.0066179,0.0501567,0.0574524,0.1508185,0.984326,0.283979,0.0554951,0.2571429,55000.0
3305.0,0.4944024,0.0060514,0.0850227,0.0658288,0.9055976,0.0,0.7931937,0.0122164,0.0410122,0.0868526,0.0052356,0.9904014,0.3131474,0.1592357,0.7857143,39300.0
61.0,0.4754098,0.0,0.1311475,0.0,0.8852459,0.0,0.9130435,0.0434783,0.0869565,0.0,0.0,1.0,0.0434783,0.25,0.0,91300.0
14870.0,0.4800269,0.0132482,0.1439139,0.0973875,0.8956288,0.0102892,0.7789757,0.0028751,0.0240791,0.0229986,0.0123989,0.9962264,0.1964537,0.0379551,0.6538462,65600.0
1407.0,0.5337598,0.0007107,0.0497512,0.0411585,0.9260839,0.0,0.7883721,0.0046512,0.0209302,0.1060291,0.0023256,0.972093,0.3367983,0.176,1.0,49700.0
3748.0,0.4533084,0.0010672,0.184365,0.1620303,0.8468517,0.0,0.6687154,0.0006146,0.0159803,0.0818284,0.0018439,0.9993854,0.3267494,0.0566728,0.5,30600.0
101.0,0.5940594,0.0,0.1980198,0.0,0.9306931,0.0,0.8684211,0.0,0.0526316,0.2244898,0.0,1.0,0.2244898,0.0,0.0,14999.0
4361.0,0.4870443,0.0495299,0.0935565,0.1050514,0.8695253,0.0284338,0.7693824,0.0059133,0.0492773,0.0786925,0.0512484,0.9954008,0.2136804,0.1019231,0.2142857,67900.0
252.0,0.484127,0.0,0.0634921,0.0307692,0.9325397,0.0,0.8604651,0.0,0.0348837,0.0227273,0.0,1.0,0.0,0.0,0.0,64500.0
3469.0,0.4436437,0.3906025,0.1625829,0.1611399,0.8587489,0.045258,0.7536,0.0008,0.0168,0.0601504,0.3176,0.9928,0.2345865,0.107056,0.2352941,33900.0
5759.0,0.4775135,0.0081611,0.1764195,0.1399136,0.8534468,0.0206633,0.7072072,0.0013514,0.0274775,0.0322581,0.0072072,0.9914414,0.2292938,0.02,0.1818182,167100.0
285.0,0.4877193,0.0,0.0666667,0.0547945,0.9403509,0.0,0.7910448,0.0,0.0447761,0.1625,0.0,1.0,0.8875,0.3181818,0.0,51900.0
29205.0,0.4831707,0.0205444,0.0693717,0.0689678,0.9033727,0.0055812,0.7748881,0.0020958,0.0235305,0.0783212,0.0182909,0.9557969,0.2195101,0.0721221,0.2678571,75000.0
15223.0,0.5019379,0.0101163,0.0961046,0.0708256,0.7308021,0.0001971,0.5564742,0.0053152,0.12978,0.0579972,0.0107781,0.9354791,0.5393602,0.0378994,0.2564103,295400.0
2321.0,0.4571305,0.0021542,0.1301163,0.1166667,0.891857,0.0,0.7423383,0.0011351,0.0238365,0.130306,0.0011351,0.9738933,0.4086871,0.0869565,0.4761905,37000.0
193.0,0.4507772,0.0,0.1865285,0.1320755,0.8497409,0.0,0.6790123,0.0,0.037037,0.0581395,0.0,1.0,0.1744186,0.0909091,1.0,16300.0
554.0,0.465704,0.4765343,0.1407942,0.1385135,0.8826715,0.0216606,0.7287234,0.0,0.0106383,0.2539683,0.4148936,0.9840426,0.3253968,0.0606061,0.6,23700.0
17406.0,0.4931633,0.0934161,0.0571642,0.0579234,0.9143399,0.0067218,0.8128623,0.0076087,0.042029,0.1159513,0.0876812,0.8947464,0.3653107,0.1750768,0.5927835,40400.0
3182.0,0.5031427,0.0015713,0.0857951,0.0531309,0.9135764,0.0,0.8028803,0.0045005,0.0405041,0.1018593,0.0018002,0.5877588,0.3193209,0.0942029,0.4285714,62500.0
8184.0,0.4723851,0.0745357,0.0623167,0.0738768,0.8983382,0.0073314,0.7827411,0.0043993,0.035533,0.0568146,0.0659898,0.9736041,0.279285,0.0682281,0.1363636,46500.0
7532.0,0.4719862,0.0091609,0.1415295,0.0764395,0.7907594,0.0058417,0.63978,0.0015277,0.0937977,0.0466065,0.0070272,0.9764742,0.2545878,0.0298103,0.1219512,436300.0
1273.0,0.4831108,0.0031422,0.1578947,0.1200608,0.8586017,0.0,0.7151277,0.0019646,0.0628684,0.0359848,0.0,0.9960707,0.2443182,0.0693642,0.2,125400.0
5566.0,0.4973051,0.0,0.0828243,0.0461044,0.958498,0.0,0.8651685,0.0026438,0.010575,0.0405834,0.0,0.9748843,0.1509195,0.2332016,0.5,51600.0
311.0,0.4758842,0.7620579,0.1028939,0.0858896,0.9421222,0.0,0.8229167,0.0,0.0104167,0.0679612,0.6875,1.0,0.2524272,0.1333333,1.0,31800.0
587.0,0.4361158,0.0596252,0.2981261,0.2567976,0.7495741,0.1516184,0.7277228,0.0,0.0148515,0.1583333,0.0445545,0.9851485,0.3375,0.0454545,1.0,22700.0
3490.0,0.4739255,0.0054441,0.1710602,0.1399782,0.8280802,0.0191977,0.6671544,0.0043892,0.0490124,0.0825503,0.0021946,0.9934162,0.2610738,0.0704501,0.6842105,58100.0
4146.0,0.4358418,0.0033767,0.2187651,0.1748611,0.7660396,0.0171249,0.5803109,0.0025907,0.0378238,0.0599123,0.0041451,0.9984456,0.2493911,0.0243161,0.1875,106400.0
6404.0,0.5103061,0.0084322,0.0743285,0.0503827,0.9387883,0.0098376,0.8695652,0.010712,0.0441084,0.042245,0.0119723,0.6118463,0.3584792,0.419426,0.7272727,168700.0
69.0,0.5072464,0.0,0.2173913,0.1470588,0.8985507,0.0,0.7307692,0.0,0.0,0.1875,0.0,1.0,0.09375,0.0,0.0,14999.0
78.0,0.525641,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,32500.0
4994.0,0.4601522,0.0078094,0.195835,0.1798961,0.7737285,0.0662795,0.639336,0.0055332,0.0301811,0.1341463,0.0025151,0.9969819,0.2730836,0.0906667,0.7413793,25900.0
6962.0,0.5025855,0.0034473,0.1476587,0.0672827,0.8787705,0.0123528,0.7763829,0.0054923,0.0596312,0.4202866,0.0047077,0.9521381,0.4214237,0.1842949,0.3108108,72600.0
1485.0,0.4868687,0.0006734,0.1313131,0.0971129,0.8895623,0.0,0.7463504,0.0018248,0.040146,0.0300885,0.0,0.9890511,0.1628319,0.0636364,0.5,59100.0
