climbRate,Sgz,p,q,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,diffSaTime1,diffSaTime2,diffSaTime3,diffSaTime4,Sa,Goal
-112,-62,-0.12,-0.1,-1.3,-8,14,0.023,0.7,-0.0001,-0.0001,-0.0001,-0.0001,0.0,0.0,0.0,0.0,-0.0001,0.017
-54,-20,0.22,0.11,-0.1,-7,-11,-0.001,-0.5,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,0.015
-242,-18,0.03,0.05,-1.4,-11,-1,0.004,0.0,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.018
59,-37,0.06,0.18,-0.4,-15,-10,-0.006,0.1,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,0.018
-44,4,0.14,0.0,0.6,-9,4,-0.006,-0.2,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007,0.018
161,-32,-0.2,-0.08,0.7,-6,9,-0.009,0.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.018
-154,-52,-0.59,0.13,-0.3,-10,-9,0.005,-1.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.017
10,-12,-0.5,0.07,1.1,-17,6,-0.014,0.2,-0.0013,-0.0014,-0.0014,-0.0016,0.0001,0.0,0.0002,0.0,-0.0016,0.024
-11,-35,0.63,-0.04,1.1,-12,9,0.013,-0.1,-0.0006,-0.0005,-0.0005,-0.0005,-0.0002,0.0,0.0,0.0,-0.0005,0.023
-39,-28,0.14,0.0,-1.1,-11,5,0.014,-0.2,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,0.018
-180,-7,-0.05,0.02,-0.2,-9,1,0.001,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.015
-99,7,0.19,0.09,-0.5,-8,-8,0.013,-0.2,-0.0005,-0.0004,-0.0004,-0.0004,-0.0002,0.0,0.0,0.0,-0.0004,0.032
321,-20,0.08,0.12,-1.0,-7,4,0.007,-2.4,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,0.019
-144,-6,-0.13,0.11,0.7,-6,-12,-0.005,0.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.017
-329,60,-0.13,0.16,1.2,-18,-2,-0.022,0.1,-0.0017,-0.0017,-0.0017,-0.0017,0.0,0.0,0.0,0.0,-0.0017,0.023
-126,-10,0.09,-0.1,-0.9,-8,14,0.008,-1.2,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,0.014
-201,-56,-0.15,-0.01,-0.6,-8,3,-0.002,0.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.017
536,1,-0.08,-0.02,-1.0,-11,4,0.009,0.4,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.02
-422,-32,-0.39,0.08,-0.7,-14,-3,0.004,0.3,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.017
301,16,-0.2,0.03,-0.9,-7,-3,-0.002,0.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.019
559,53,0.36,0.08,-1.6,-9,-11,0.013,1.0,-0.0004,-0.0003,-0.0003,-0.0003,-0.0002,0.0,0.0,0.0,-0.0003,0.021
709,-15,0.48,0.04,-0.4,-16,8,0.011,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.025
335,12,0.05,0.26,1.7,-17,-1,0.003,-1.9,-0.0015,-0.0015,-0.0015,-0.0015,0.0,0.0,0.0,0.0,-0.0015,0.036
423,-32,0.59,-0.01,-2.4,-15,10,0.038,-0.7,-0.0003,-0.0002,-0.0002,-0.0002,-0.0002,0.0,0.0,0.0,-0.0002,0.018
162,3,0.21,0.08,-0.5,-7,-7,0.009,-0.1,-0.0004,-0.0004,-0.0004,-0.0003,-0.0002,0.0,-0.0002,0.0,-0.0003,0.019
-128,-9,-0.56,0.01,0.4,-13,4,-0.023,0.5,-0.001,-0.0011,-0.0011,-0.0012,0.0002,0.0,0.0001,0.0,-0.0012,0.019
-131,11,-0.03,0.22,1.2,-14,-14,-0.009,-0.1,-0.0012,-0.0012,-0.0012,-0.0012,0.0,0.0,0.0,0.0,-0.0012,0.026
-137,-17,-0.31,0.04,0.2,-7,-4,-0.002,0.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.017
-260,0,0.28,0.21,1.2,-15,-11,-0.016,-0.6,-0.0012,-0.0012,-0.0012,-0.0012,0.0,0.0,0.0,0.0,-0.0012,0.022
-248,-9,0.19,-0.02,1.1,-12,9,0.004,-0.8,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.018
87,-14,0.27,0.03,0.8,-5,-3,0.004,-0.1,-0.0003,-0.0003,-0.0003,-0.0003,-0.0001,0.0,0.0,0.0,-0.0003,0.017
170,-24,-0.54,0.05,-2.0,-20,13,0.038,0.8,-0.0006,-0.0006,-0.0006,-0.0006,0.0001,0.0,0.0,0.0,-0.0006,0.023
500,8,-0.18,-0.06,-0.2,-6,7,0.002,-0.2,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,0.019
44,-2,0.07,-0.03,-1.2,-13,10,0.021,-0.4,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,0.019
179,-33,-0.27,-0.02,-2.8,-11,6,0.019,-0.2,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,0.018
-150,3,0.28,0.02,-0.1,-10,2,0.014,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,-0.0002,0.0,0.0,0.0,-0.0004,0.019
501,-41,-0.19,0.04,-0.7,-12,1,-0.005,-0.1,-0.0008,-0.0008,-0.0008,-0.0009,0.0,0.0,0.0001,0.0,-0.0009,0.022
-427,-30,-0.42,-0.02,1.4,-7,11,-0.022,-1.8,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.017
-180,-24,-0.07,0.21,-0.4,-14,-14,-0.025,0.0,-0.0014,-0.0014,-0.0014,-0.0014,0.0,0.0,0.0,0.0,-0.0014,0.021
663,-62,0.37,0.16,0.1,-13,19,0.011,-5.5,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.019
281,-6,-0.17,0.18,0.7,-17,-6,-0.009,-0.7,-0.0013,-0.0013,-0.0013,-0.0013,0.0,0.0,0.0,0.0,-0.0013,0.023
294,-17,0.3,0.04,-0.2,-11,1,0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.02
8,-31,0.33,0.04,-1.5,-15,8,0.021,-0.3,-0.001,-0.0008,-0.0008,-0.0008,-0.0003,0.0,0.0,0.0,-0.0008,0.035
-484,-30,-0.14,-0.1,2.0,-4,8,-0.02,0.6,-0.0005,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.015
-224,3,-0.05,0.39,0.6,-18,-14,-0.007,-0.5,-0.0023,-0.0023,-0.0023,-0.0023,0.0,0.0,0.0,0.0,-0.0023,0.044
-107,-25,0.67,0.08,-0.5,-15,11,0.025,-1.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.032
-283,-21,-0.16,0.15,0.6,-15,-14,-0.013,2.0,-0.0014,-0.0014,-0.0014,-0.0014,0.0,0.0,0.0,0.0,-0.0014,0.027
-21,-35,-0.08,-0.09,0.1,-7,16,-0.01,-1.4,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.017
-45,-33,0.36,0.1,0.9,-14,-3,0.002,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.018
777,48,0.67,0.17,-0.3,-15,-10,-0.003,0.2,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,0.024
-511,-27,0.12,-0.22,-1.6,-11,30,0.019,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,0.014
-25,-14,0.27,-0.01,0.2,-8,2,-0.006,0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.026
301,-28,0.07,0.02,-0.5,-14,7,0.016,-0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007,0.027
-81,-13,-0.29,-0.09,0.1,-6,10,-0.002,-0.1,-0.0003,-0.0003,-0.0003,-0.0004,0.0001,0.0,0.0001,0.0,-0.0004,0.015
-98,-39,0.44,-0.04,-0.4,-11,9,0.013,0.3,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,0.018
-322,44,-0.72,0.28,0.9,-15,-22,-0.011,0.4,-0.0012,-0.0012,-0.0012,-0.0012,0.0,0.0,0.0,0.0,-0.0012,0.022
-181,-56,-0.55,-0.07,-0.7,-11,12,0.001,-0.6,-0.0005,-0.0005,-0.0005,-0.0007,0.0,0.0,0.0002,0.0,-0.0007,0.015
574,5,-0.14,0.06,-0.4,-8,-4,0.01,-0.3,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,0.022
-261,40,0.06,0.08,-1.0,-11,-23,0.013,2.7,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,0.019
-45,-35,0.16,0.09,0.6,-10,-5,-0.006,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.022
-68,-13,-0.23,0.0,-1.9,-8,2,0.008,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,0.02
-522,29,0.16,0.36,0.7,-17,-20,-0.016,-0.9,-0.0013,-0.0013,-0.0013,-0.0013,0.0,0.0,0.0,0.0,-0.0013,0.018
-64,-21,-0.45,0.01,-1.2,-8,1,0.005,0.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.017
747,-15,0.26,0.13,-0.9,-16,-8,0.0,1.5,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,0.024
-248,1,0.34,0.08,0.7,-12,-8,0.002,0.3,-0.001,-0.001,-0.001,-0.0009,0.0,0.0,-0.0002,0.0,-0.0009,0.026
-199,3,0.4,0.26,1.4,-19,-4,-0.006,-0.2,-0.0026,-0.0026,-0.0026,-0.0026,0.0,0.0,0.0,0.0,-0.0026,0.052
506,-38,0.19,0.05,0.8,-11,0,-0.011,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.021
-409,36,-0.22,-0.01,0.2,-6,5,-0.003,-1.3,-0.0003,-0.0004,-0.0004,-0.0004,0.0001,0.0,0.0,0.0,-0.0004,0.015
589,-62,-0.2,-0.24,1.3,-9,29,0.002,0.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.017
-205,-60,0.16,0.1,-0.4,-11,-5,0.015,-0.3,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.027
55,-41,0.49,0.12,-1.1,-18,7,-0.002,-0.9,-0.0013,-0.0013,-0.0013,-0.0013,0.0,0.0,0.0,0.0,-0.0013,0.03
-341,-1,-0.12,0.07,2.1,-11,-4,-0.011,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,0.018
-94,1,0.38,0.07,-0.5,-13,0,0.006,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.02
-97,-21,-0.49,0.09,-1.2,-11,-6,0.015,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.018
128,-22,0.41,0.19,-1.7,-21,6,0.031,-0.3,-0.0014,-0.0014,-0.0014,-0.0014,0.0,0.0,0.0,0.0,-0.0014,0.049
-244,-33,-0.22,0.01,-0.8,-7,1,-0.004,0.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.016
-659,24,0.09,0.0,0.8,-5,-9,-0.009,0.7,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.018
17,-9,0.01,0.03,1.0,-10,1,-0.018,0.1,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,0.024
-420,-69,-0.06,-0.01,1.0,-5,1,-0.011,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.027
82,-18,0.13,0.09,0.9,-12,-4,-0.011,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,0.02
195,-39,-0.03,-0.09,0.2,-8,12,-0.001,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.017
-393,24,-0.4,0.33,0.3,-18,-11,-0.01,-0.4,-0.0024,-0.0024,-0.0024,-0.0024,0.0,0.0,0.0,0.0,-0.0024,0.044
168,-19,0.2,0.0,0.5,-12,6,-0.009,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.02
-445,-13,-0.03,0.06,-1.6,-12,2,0.006,-0.2,-0.0012,-0.0013,-0.0013,-0.0013,0.0001,0.0,0.0,0.0,-0.0013,0.047
-158,16,0.45,0.04,0.8,-6,-2,-0.018,-1.1,-0.0013,-0.001,-0.001,-0.0009,-0.0004,0.0,-0.0002,0.0,-0.0009,0.03
380,-9,0.01,0.1,0.6,-12,-2,-0.012,-0.3,-0.0013,-0.0013,-0.0013,-0.0013,0.0,0.0,0.0,0.0,-0.0013,0.032
-64,-9,0.31,0.15,-1.1,-13,-8,0.007,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.027
-317,-31,-0.45,0.23,0.8,-17,-9,0.004,-0.2,-0.0011,-0.0011,-0.0011,-0.0011,0.0,0.0,0.0,0.0,-0.0011,0.023
132,12,-0.27,0.13,0.4,-6,-16,-0.014,1.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.024
176,-12,0.34,0.12,1.0,-10,-10,-0.007,0.1,-0.0007,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007,0.023
100,-21,0.03,0.1,0.1,-10,-8,-0.005,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.015
-195,-39,0.14,-0.03,0.7,-6,6,-0.019,0.7,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007,0.018
-185,18,0.04,0.17,0.8,-12,-13,-0.008,0.2,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,0.018
63,-6,0.15,0.15,-0.7,-7,-15,0.006,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,-0.0001,0.0,0.0,0.0,-0.0005,0.038
-238,-23,-0.31,0.15,-1.1,-14,-6,0.006,0.2,-0.0014,-0.0014,-0.0014,-0.0014,0.0,0.0,0.0,0.0,-0.0014,0.034
379,75,-0.29,-0.04,-1.5,-9,9,0.017,-0.7,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,0.021
309,19,0.31,0.05,-0.1,-6,-5,0.006,0.1,-0.0003,-0.0003,-0.0003,-0.0003,-0.0002,0.0,0.0,0.0,-0.0003,0.02
45,-92,0.08,-0.1,0.5,-6,8,0.002,0.3,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,0.018
-84,7,0.3,0.06,-1.5,-8,-5,0.004,0.2,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,0.017
-462,-15,-0.28,0.09,1.0,-12,-5,0.001,0.1,-0.0006,-0.0007,-0.0007,-0.0007,0.0001,0.0,0.0001,0.0,-0.0007,0.017
40,-31,0.06,-0.07,-1.3,-13,14,0.02,0.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.019
-113,-33,-0.39,0.05,-0.5,-11,-2,0.015,0.4,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.016
-68,-30,0.04,0.27,-1.1,-12,-25,0.011,0.5,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.018
203,-55,-0.18,-0.07,1.2,-7,15,-0.016,-0.6,-0.0007,-0.0007,-0.0007,-0.0007,0.0001,0.0,0.0,0.0,-0.0007,0.018
-113,-19,0.04,0.05,-0.6,-10,-2,0.005,-0.1,-0.0005,-0.0005,-0.0005,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.018
-358,-12,-0.2,0.13,-0.3,-11,-7,0.001,-0.1,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,0.032
-55,-31,-0.54,-0.06,-0.2,-18,18,-0.019,2.0,-0.0011,-0.0014,-0.0014,-0.0014,0.0003,0.0,0.0,0.0,-0.0014,0.017
527,2,0.07,-0.11,-1.8,-13,7,0.018,2.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.018
-126,-17,0.55,-0.05,-0.5,-13,12,0.027,0.0,-0.0003,-0.0003,-0.0003,-0.0003,-0.0001,0.0,-0.0001,0.0,-0.0003,0.02
-272,-17,-0.37,-0.11,0.3,-9,17,-0.011,0.0,-0.0004,-0.0005,-0.0005,-0.0007,0.0001,0.0,0.0002,0.0,-0.0007,0.014
45,-28,-0.37,0.03,-0.4,-8,-4,-0.001,0.3,-0.0004,-0.0005,-0.0005,-0.0006,0.0,0.0,0.0001,0.0,-0.0006,0.019
-161,15,0.41,0.02,0.9,-6,-2,-0.021,-0.3,-0.0013,-0.0013,-0.0013,-0.001,-0.0002,0.0,-0.0004,0.0,-0.001,0.027
-126,-18,-0.31,0.07,2.2,-4,-9,-0.02,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.018
-278,-14,-0.06,0.09,-0.7,-7,-6,0.006,-0.3,-0.0005,-0.0006,-0.0006,-0.0006,0.0001,0.0,0.0,0.0,-0.0006,0.038
-122,-22,-0.03,0.11,-0.3,-15,-2,-0.001,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,0.018
740,4,0.13,-0.06,0.5,-6,1,0.004,0.9,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,0.018
-538,-4,-0.1,0.15,1.3,-9,-19,-0.012,1.1,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,0.029
465,-25,-0.48,0.16,0.3,-11,2,-0.01,-2.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,0.019
97,6,-0.07,0.07,-0.7,-10,-4,0.007,-0.4,-0.0004,-0.0004,-0.0004,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.02
-128,1,-0.18,0.15,-0.9,-8,-14,0.004,-0.4,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,0.02
26,-69,-0.08,0.06,-0.3,-11,0,0.002,-0.3,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,0.031
316,-14,-0.57,0.12,-0.3,-11,1,0.017,-3.5,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.018
-436,-29,0.26,0.06,-0.4,-13,4,0.007,-0.4,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,-0.0002,0.0,-0.0007,0.019
-1,-15,0.02,0.12,0.3,-13,-7,-0.002,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.018
-31,-22,0.04,0.09,-0.9,-9,-5,0.009,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.04
17,35,0.12,0.3,0.6,-11,-28,-0.021,-0.3,-0.001,-0.001,-0.001,-0.001,0.0001,0.0,0.0,0.0,-0.001,0.021
-185,-14,0.41,-0.02,-0.7,-12,9,0.006,0.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,0.034
-107,6,-0.19,0.03,0.2,-13,-16,-0.016,2.7,-0.0009,-0.0011,-0.0011,-0.0011,0.0002,0.0,0.0,0.0,-0.0011,0.02
-376,-11,-0.12,-0.04,0.5,-5,6,-0.002,0.4,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,0.018
587,-27,0.32,-0.05,-1.4,-12,8,0.027,1.3,-0.0003,-0.0003,-0.0003,-0.0003,-0.0001,0.0,0.0,0.0,-0.0003,0.02
-342,-37,0.27,0.1,0.5,-15,1,-0.01,-0.3,-0.0013,-0.0013,-0.0013,-0.0013,0.0,0.0,0.0,0.0,-0.0013,0.027
-191,1,0.33,-0.08,0.9,-6,7,-0.012,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.018
-302,-6,0.19,-0.01,0.3,-7,0,-0.007,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.018
223,-7,0.41,0.07,0.1,-13,-5,-0.004,0.7,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.02
286,-7,0.37,0.25,0.8,-10,-5,0.001,-2.4,-0.0009,-0.0007,-0.0007,-0.0007,-0.0003,0.0,0.0,0.0,-0.0007,0.028
-187,-2,0.06,0.09,1.0,-15,-2,-0.01,0.2,-0.0012,-0.0012,-0.0012,-0.0012,0.0,0.0,0.0,0.0,-0.0012,0.021
15,-40,0.21,-0.02,0.7,-5,4,-0.004,-0.7,-0.0004,-0.0004,-0.0004,-0.0004,-0.0001,0.0,0.0,0.0,-0.0004,0.017
247,-11,0.17,0.13,-0.9,-17,1,0.006,-0.8,-0.0011,-0.0011,-0.0011,-0.0011,0.0,0.0,0.0,0.0,-0.0011,0.027
116,-19,-0.04,-0.09,-0.3,-9,13,0.002,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.017
-114,23,-0.13,-0.04,-0.4,-10,8,-0.001,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.019
-268,-74,0.41,0.0,0.0,-7,2,0.001,-0.5,-0.0004,-0.0004,-0.0004,-0.0004,-0.0001,0.0,0.0,0.0,-0.0004,0.019
-60,-2,-0.19,-0.05,1.5,-6,6,-0.011,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,0.018
-112,-9,-0.22,-0.02,-0.8,-11,6,0.001,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007,0.019
10,-11,-0.34,-0.03,0.4,-13,8,-0.01,0.3,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,0.018
174,-55,-0.03,-0.15,-0.5,-7,18,0.001,-0.2,-0.0004,-0.0004,-0.0004,-0.0004,0.0,0.0,0.0,0.0,-0.0004,0.019
-329,19,0.25,0.01,0.8,-11,3,-0.011,1.0,-0.0008,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,0.019
-274,2,-0.15,-0.02,-0.7,-7,2,-0.003,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005,0.016
-280,-11,0.21,0.14,0.9,-17,1,-0.014,-0.3,-0.0013,-0.0012,-0.0012,-0.0012,-0.0002,0.0,0.0,0.0,-0.0012,0.018
342,-34,-0.17,0.2,-1.0,-12,-22,0.006,1.4,-0.0005,-0.0006,-0.0006,-0.0006,0.0001,0.0,0.0001,0.0,-0.0006,0.023
34,-52,0.11,0.04,-0.5,-12,2,-0.007,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,0.019
-75,12,-0.03,0.12,-0.8,-8,-11,0.01,-0.4,-0.0003,-0.0003,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0003,0.015
